speechdate,speakeroldname,maintopic,subtopic,speechtext,speakerparty,speakerriding,speakername
2018-01-29,"Hon. Patty Hajdu (Minister of Employment, Workforce Development and Labour, Lib.)",Government Orders,Canada Labour Code," moved that Bill C-65, An Act to amend the Canada Labour Code (harassment and violence), the Parliamentary Employment and Staff Relations Act and the Budget Implementation Act, 2017, No. 1, be read the second time and referred to a committee. 
Mr. Speaker, I am very pleased to rise today and speak to Bill C-65, introduced in November 2017. Bill C-65 demonstrates our government's commitment to eliminating harassment and violence in federal workplaces. We take this action because our government recognizes that safe workplaces, free of harassment and violence, are critical to the well-being of Canadian workers and critical to our agenda of a strong middle class. We have been powerfully reminded in Canada, and indeed around the world, that harassment and violence remain a common experience for people in the workplace; and Parliament Hill, our own workplace, is especially affected.
Parliament Hill features distinct power imbalances, which perpetuates a culture where people with a lot of power and prestige can use and have used that power to victimize the people who work so hard for us. It is a culture where people who are victims of harassment or sexual violence do not feel safe to bring those complaints forward. It is a place where these types of behaviours, abusive and harmful, are accepted and minimized and ignored. In fact, it is a place where often the victimized individual is blamed for the harassment that she herself has experienced. We are all familiar with this phrase: She brought it on herself. It is like many other workplaces across Canada, especially those that have distinct power imbalances and a lack of strong policy that protects employees from harm. As it stands right now, people who have been victims of harassment or violence do not have suitable options for having their complaints heard, nor do they have options for resolving these very serious and often traumatic events. If they do come forward, they are often unsupported to manage the complex or difficult situations that they face as a result of the harassment that they have experienced.
Time is up. Things need to change. It starts with saying emphatically that it is never okay. It is never okay for someone to take advantage of a position of power to victimize another person. It is never okay that victims—far too often women, or young workers, or people of colour, or people from the LGBTQ2 community—have been forced to stay silent and keep their trauma to themselves. This has to stop. 
I have heard heart-breaking experiences from staff members in this workplace and across the federal sector who do not know where to go when they have been victimized; who, after having followed a process, have felt that they were not taken seriously; who were asked to try again with their abuser and to avoid being in a room alone with the offender. I have spoken with many who have said that, after complaining, they were shunned, that they did not feel safe setting boundaries for themselves, and that their job and their reputation were threatened by their abuser, often much older and certainly more powerful than they. I have, sadly, heard stories of significant trauma and anxiety and of people who have left workplaces—ours, in particular—because they were certain they would not have a resolution for the abuse they were experiencing. 
In our workplace here on Parliament Hill, it is no coincidence that we have so many of these stories of harassment and violence. In fact, the volume of these stories is directly tied to the distinct power imbalances in our workplace, which I spoke of earlier. Therefore, it is clear that we need to create safe workplaces, including right here, so that everyone can thrive; and the first and most critical step we as a government and society must take is to support survivors. We need to believe the people who are coming forward. We need to demonstrate that we hear them, that we take them seriously, that we are their allies, and that we are committed to ending this behaviour.
The #MeToo and Time's Up movements have helped women and other survivors from around the world to bring their stories forward and shine a spotlight on harassment and sexual violence. It is our responsibility to ensure that the light does not fade. We have an opportunity to act and to end the need for women to say “me too” in the future. No woman or any person in Canada should ever have to say “me too” again. That is why we are taking action with legislation.
However, we also know that this problem is too large to solve with legislation alone. Creating safe workplaces, free of violence and harassment, will take all Canadians working together to ensure that we change a culture that does indeed tolerate this behaviour. To change an abusive culture, good leadership is critical. I am very proud to be part of a government that has been very clear that harassment and sexual violence will not be tolerated.
The Prime Minister has shown time and again that he is not afraid to take action when needed, and has clearly demonstrated that he is an ally to survivors. It is this kind of courageous leadership that sets expectations in workplaces and begins to shift power and balances. When leaders set the tone and the expectation that people are safe in their workplace, it empowers people to stand up and say that harassment and sexual violence is not okay. It empowers people to take action.
 It is this kind of leadership that will break down the patriarchal culture in which we live; designed by men, for men. If we want more women to lead, to build, and to create in Canada, we have to ensure they are respected and safe. It is our job as a government to stand up for the rights of all Canadians, especially women, people of colour, and the LGBTQ2 community, often those people with the least power, so they can live and work free of harassment and violence.
 It is for this reason that we introduced Bill C-65 last year, after consulting with Canadians from across the country. Canadians have told us that incidents are still vastly under-reported. They have told us that when incidents are reported, and if there is even a follow up, it is unacceptable, ineffective, and flawed. In fact, 41% of the respondents told us that no attempt was made to resolve an incident they reported.
 We also consulted with members of Parliament and senators. They made it clear that we all wanted to stop harassment and sexual violence, and support survivors.
 Therefore, I am hopeful we will have the support of the other parties on this very important bill.
After our consultations, it became very clear that what was in place right now to protect Canadians in federally regulated workplaces from harassment and violence and to deal with it when it did happen was simply not enough and that we needed to do better.
 Parts II and III of the Canada Labour Code deal with occupational safety and health and employment standards within the federal jurisdiction. Currently no comprehensive system is in place for preventing and dealing with incidents of harassment and sexual violence. What we have instead is a patchwork of laws and policies that address these issues within the federal jurisdiction.
 For example, violence is dealt with in part II of the code, which covers occupational health and safety, and applies to all federally regulated workplaces, including the public service. However, sexual harassment is dealt with in part III, or the labour standard section, of the code, which does not cover public servants, only the federally regulated private sector. On top of that, our parliamentary workplaces are not covered at all.
During our consultations, Canadians told us that we needed to treat incidents of harassment and violence as a continuum of inappropriate behaviour. This continuum should span all the way from teasing to physical abuse. Right now too many people are falling through the cracks. Too often, when they report harassment and sexual violence, nothing happens. These experiences end up serving as a deterrent for others who are considering whether they should come forward and report an incident. All employees need to be protected and every incident needs to be dealt with quickly and effectively and seen through to resolution.
Legislation will not solve this problem alone. We need a culture shift, and government plays a critical role in shifting culture. It starts with a comprehensive approach that focuses on preventing these behaviours before they happen, responding effectively when they do occur, and supporting survivors after the fact. We need a new approach to dealing with harassment and violence that will better protect employees at all federally regulated workplaces from these unacceptable behaviours.
 Therefore, Bill C-65 proposes amending existing provisions in the Canada Labour Code by replacing the patchwork of law and policies that address these issues within the federal jurisdiction and putting into place one comprehensive approach that takes the full spectrum of harassment and violence into consideration. The legislation would expand these policies to cover parliamentary workplaces, such as the Senate, the Library of Parliament, the House of Commons, and political staff on Parliament Hill.
There are three main pillars of the legislation: first, to prevent incidents of harassment and violence from occurring; second, to respond effectively to these incidents when they do occur; and, third, to support victims, survivors, and employers through the process. 
Protecting employees by preventing these incidents from occurring in the first place is the foundation of this bill. The amendments we are proposing will explicitly require employers to prevent incidents of harassment and violence, and protect employees from these behaviours. It is time to treat harassment and sexual violence in the workplace the same way we treat other occupational health and safety hazards.
On this subject, I would like to note that we are also strengthening compliance and enforcement mechanisms under the Canada Labour Code, as announced in budget 2017.
 The use of monetary penalties, the authority to publicly name violators, strengthened powers for inspectors, new recourse against reprisals, and improvements to the wage recovery process are just some of the changes announced to increase workplace health and safety and better protect workers' rights.
Our second pillar is focused on effectively responding to incidents if they do occur. With these proposed amendments, employers will be required to investigate, record, and report occurrences of harassment and violence.
 Employees who believe they have been victims of harassment or violence or have witnessed these behaviours would be able to report the incidents to their employers and try to resolve the matters through informal means. However, if the complaint could not be resolved, the employer would be obligated to appoint a competent person to undertake an investigation. Once the competent person concluded his or her investigation and issued a report, the employer would be obligated to implement any recommendations or corrective measures set out in that report. 
At any point in this process, if the employee believes that the employer has contravened any parts of the code or the regulations, he or she could file a complaint with the labour program and then labour program officials would investigate and take enforcement action if they found a contravention of the code or the regulations did occur. Details regarding the investigation would be fine tuned and set out in the regulations.
These proposed amendments will also protect the privacy of employees, encouraging those who are victimized to come forward. This is vital to the success of this bill. We know that incidents are being under-reported due to fear of reprisal and the unfair but very real stigma associated with being a victim of harassment and sexual violence. 
Our third pillar would require employers to support victims who would be affected by these incidents. We would also require employers to assist those who would need help to understand the new approach. The labour program would assist with education and support for complainants.
It should be noted that the proposed legislation in no way replaces or takes precedence over the Criminal Code of Canada. Some actions and offences require law enforcement intervention, and complainants always have the right to go to the police to report incidents. 
Time is up. The time for inaction is indeed over. Bill C-65 would ensure that workers in federally regulated sectors, including right here on Parliament Hill, finally have the protections they need. It would ensure that those who are in vulnerable positions have a voice. It would ensure that those who still think harassment and sexual violence are acceptable in 2018 would be held accountable. 
All people deserve to work in a safe workplace and they deserve to live free from harassment or violence. I ask that all my colleagues from both sides of the aisle show their support for the bill.",Liberal,Thunder Bay—Superior North,Patty Hajdu
2018-01-29,"Hon. Steven Blaney (Bellechasse—Les Etchemins—Lévis, CPC)",Government Orders,Canada Labour Code,"Mr. Speaker, I applaud the minister for trying to make our workplaces free from harassment. I would also like to tell her that we will support this bill at second reading so that it can be improved in committee.
The minister talked a lot about victims in her speech. According to this bill, victims must first go to their employer, but victims are sometimes afraid of going to their employer, since the employer may be involved in the harassment.
Can the minister assure me that she will allow these victims to go directly to the Department of Employment, Workforce Development and Labour investigator? Will she allocate the financial resources needed to ensure that victims can go to the department when they do not want to go to their employer, who may be the perpetrator?",Conservative,Bellechasse—Les Etchemins—Lévis,Steven Blaney
2018-01-29,Hon. Patty Hajdu,Government Orders,Canada Labour Code,"Mr. Speaker, I thank the hon. member very much for his support of the proposed legislation. It is important that we work together. It is reassuring to hear that we indeed have parliamentarians broadly in support of legislation that would protect the most vulnerable in our workplaces.
On the member's question, absolutely. First, victims always have the right to go to law enforcement should they have a serious incident from which they feel they need protection. Second, more than that, employers would also be required, with employees, to select a list of alternative people who employees can turn to if in fact the victimizer is their employer. Third, if the resolution cannot happen through the employer, the employer and employee would have a list of competent people they could choose as a third party to investigate should that employee not get a resolution in the first attempt. Finally, at any point in the process, the victim of violence or harassment can come directly to the Labour Department, and we have sufficient resources to manage those complaints.",Liberal,Thunder Bay—Superior North,Patty Hajdu
2018-01-29,"Ms. Karine Trudel (Jonquière, NDP)",Government Orders,Canada Labour Code,"Mr. Speaker, I thank my colleague for her very insightful speech.
We have been discussing this topic here in the House for several months, and I know that many will be listening closely to our discussions today.
I would like to ask my colleague whether workplaces will have access to new funds for training. Training is essential to changing a culture and creating a healthy workplace for all those who work in telecommunications, airports, and federally regulated workplaces. Will there be financial assistance set aside for training?
I think that training is the key to change. As I mentioned, it will support investigations into allegations of sexual harassment.
I would also like to know where this money will be coming from.",New Democratic Party,Jonquière,Karine Trudel
2018-01-29,Hon. Patty Hajdu,Government Orders,Canada Labour Code,"Mr. Speaker, I thank my colleague for her support. It is reassuring to hear that all parties recognize we need to deal with this in a more comprehensive way.
We already are working on materials for employers to help them begin the work of training, prevention, and awareness. We have resources in place to cover the costs of doing so.
 As I mentioned in my speech, through budget 2017, we have significantly added to our ability to investigate and follow up on complaints made to my department. We are very confident we have the resources we need to move forward on the legislation.",Liberal,Thunder Bay—Superior North,Patty Hajdu
2018-01-29,"Ms. Anita Vandenbeld (Ottawa West—Nepean, Lib.)",Government Orders,Canada Labour Code,"Mr. Speaker, we know every person deserves to be in a workplace where he or she is free from harassment and sexual violence. As leaders and a federal government, we need to be the ones who lead the way and take the first steps.
 As we know, every woman who comes forward is displaying tremendous courage. It is not an easy thing to do. For that woman, perhaps a young woman at the beginning of her career, how will the legislation make it easier for her to come forward, then actually see action from the fact she has had the tremendous courage to speak up?",Liberal,Ottawa West—Nepean,Anita Vandenbeld
2018-01-29,Hon. Patty Hajdu,Government Orders,Canada Labour Code,"Mr. Speaker, my hon. colleague raises a very important point. Oftentimes those who are victimized are the ones who have the least experience, are the most vulnerable in a workplace, and who have the least security and power. That is exactly what the legislation is meant to address.
 First, it sets a framework that focuses on prevention so all people know what their rights are in a workplace and that there is a strong policy in every federally regulated workplace that gives a clear framework for employees and employers about what the code of conduct is and how to prevent this.
Second, it would ensure there would be alternative mechanisms for a person to come forward with his or her complaint, maybe not the employer if the employer is the perpetrator. We have thoughtfully included that. We know that oftentimes, especially in small workplaces, it very well might be the employer who is the perpetrator. Building the obligation of the employer to have a list of alternate people is a critical component in ensuring people come forward.
Finally, the attention we have paid to ensuring privacy is protected is another really important piece of the legislation, one that is worthy of a mention. Many times we have heard that people come forward and they are shamed and stigmatized for their experiences. They are discouraged from moving forward in their career, or may be held back or there may be significant financial consequences. Having a process that ensures privacy of the victim is critically important.",Liberal,Thunder Bay—Superior North,Patty Hajdu
2018-01-29,"Mrs. Cathy McLeod (Kamloops—Thompson—Cariboo, CPC)",Government Orders,Canada Labour Code,"Mr. Speaker, like many in the House, I have been very concerned and upset by a number of the issues that have happened over the last number of months and, to be quite frank, over the last number of years.
I listened to the minister's speech, and she was right. Both systemic and cultural change will be important. I look forward to the bill going to committee to see how we can even make it better.
One thing concerns me, because we are looking at a continuum. We know the RCMP is available, but we have legislation by our former interim leader, which has sat in the Senate for months, on judges and their training. Ultimately, people who go through the process need to have confidence they will be heard through the justice system.
Would the member offer any encouragement for the Senate to move forward on that legislation? This is another piece of this important issue.",Conservative,Kamloops—Thompson—Cariboo,Cathy McLeod
2018-01-29,Hon. Patty Hajdu,Government Orders,Canada Labour Code,"Mr. Speaker, my hon. colleague raises an important point. People have to have confidence in the system that is put in place to protect them, and of course, the Senate has its own process and its own timelines.
 We believe that education and awareness is a critical component of that, and that includes the people who are doing the investigating and the deciding on cases of harassment and sexual violence. That is why we have focused so much in our legislation on education, on ensuring that there is strong policy, that employers know their obligations, and that employees know their rights.
We look forward to working with the member and hearing her thoughts through the committee process.",Liberal,Thunder Bay—Superior North,Patty Hajdu
2018-01-29,"Ms. Tracey Ramsey (Essex, NDP)",Government Orders,Canada Labour Code,"Mr. Speaker, it is such an important day for all of us, to be coming onto the same page at this moment in time, in our country and across the world. It is critical that we put our partisan hats to the side and do the very hard work that is necessary to ensure that this workplace is zero tolerance going forward. I applaud everyone who is getting up today to be a part of this debate. It is critical. 
There are many tools that are needed in order to see this legislation go forward, but certainly even beyond that, I would like the minister to consider adopting 10-day paid leave for anyone who has been a victim of any type of harassment in their workplace. It is very important that they are able to have that time to deal with the fallout they are facing. We see women across our country being victimized all over again by social media and by people. We really need to advocate for them to have that time to be able to heal.
The other piece that is very important, and we will be bringing it forward, is a clear definition. This is the basis of all of the work we are doing. I implore the minister to adopt a clear definition in the legislation so that we will know exactly what we are facing going forward.
My question is about that definition. I hope the minister will entertain the amendments that will come forward about that.",New Democratic Party,Essex,Tracey Ramsey
