speechdate,speakeroldname,maintopic,subtopic,speechtext,speakerparty,speakerriding,speakername
2018-10-17,NA,Government Orders,Canada Labour Code," The House resumed from October 16 consideration of amendments made by the Senate to Bill C-65, an act to amend the Canada Labour Code (harassment and violence), the Parliamentary Employment and Staff Relations Act and the Budget Implementation Act, 2017, No. 1.",NA,NA,NA
2018-10-17,"Hon. Candice Bergen (Portage—Lisgar, CPC)",Government Orders,Canada Labour Code,"Mr. Speaker, I am rising today to speak to Bill C-65, an important bill dealing with harassment in the federal workplace. It is important to understand that this bill did not come out when it did by pure coincidence. For context, I will recount some of the incidents that happened around the time the bill came out.
All members of the House will, I am sure, remember that the #MeToo movement touched a wide segment of society around the world last autumn. Then in January, just before the House sat, we had a number of revelations within Canadian political circles as well. One of them affected the Liberal government. Allegations about misconduct, about a decade ago, by the hon. member for Calgary Centre were made known. At that time he was the minister of sport and persons with disabilities. However, that did not continue because he was asked to leave the cabinet, and a secret investigation was launched later.
I do not cite these facts to be disrespectful or rude toward the hon. member. This is important context that will help to explain the Prime Minister's many quotable statements during this narrow window of time. For example, as news of the former minister's past actions were being reported, the Prime Minister, then at the World Economic Forum in Switzerland, said:
 We must each have a well-understood, established process in place to file allegations of workplace harassment. And when we receive those complaints, we must take them seriously. 
 As women speak up, it is our responsibility to listen, and more importantly, to believe. 
Those were the Prime Minister's words. That is quite clearly the government's policy as well. 
It is not just the words in the Prime Minister's speech that matter, but establishing a complaints process, including in our own offices on Parliament Hill, that is very much at the heart of Bill C-65. 
Upon his return to Canada, the Prime Minister said days later to the the CBC, “The standard applies to everyone. There is no context in which someone doesn’t have responsibility for things they’ve done in the past.” Therefore, it is quite clear. As I mentioned earlier, a wave of revelations and probing questions were sweeping Parliament Hill that week. That is why it is not at all surprising that the CBC would, in that same interview with the Prime Minister, quiz him about his own past. When asked, the Prime Minister answered, “I've been very, very careful all my life to be thoughtful, to be respectful of people's space and people's headspace as well”.
Therefore, the Prime Minister laid down the law about sexual harassment and misconduct allegations when he stated that we should always: one, believe complainants; two, hear out retrospective complaints, without time limit; three, apply one standard to all; and four, do not worry, just know that he is squeaky clean, apparently.
 With respect to this final point, it turns out that there were previous allegations of impropriety made against the Prime Minister that surfaced. Late this spring, copies of the Creston Valley Advance from August 2000 surfaced. An editorial, penned by a reporter on staff, informed readers, “I’m sorry. If I had known you were reporting for a national paper, I never would have been so forward.” Those were the words spoken to an Advance reporter by the son of former prime minister Pierre Trudeau on August 4. He, the now prime minister, was in Creston to celebrate the Kokanee Summit festival, put on by Columbia Brewery. He apologized a day late for inappropriately handling the reporter while she was on assignment not only for the Advance, but also for the National Post and Vancouver Sun. 
The editorial went on to say:
 shouldn't the son of a former prime minister be aware of the rights and wrongs that go along with public socializing? ...Didn't he learn, through his vast experiences in public life, that groping a strange young woman isn't in the handbook of proper etiquette regardless of who she is, what her business is, or where they are? 
“Groping” is her word not mine. 
Applying the edict from the Prime Minister, I assume we are to believe her story that she was groped by the Prime Minister, disregard the date no matter how far back the complaint went, and apply the same standard that applies to the hon. members for Nunavut, Calgary Centre, and Calgary Skyview, which was removal from cabinet and/or the Liberal caucus. Is that not right?
Members will remember that things did not quite tum out as one would have expected based on the Prime Minister's own rules. Part of the problem was that the Canadian media paid virtually no attention to the groping allegations about the Prime Minister. If only they had given just a fraction of their coverage to this issue here in Canada as they did to the Kavanaugh story in the United States. However, that is wishful thinking. 
Despite that, back in July, the Prime Minister went on record defending his groping by saying, “I had a good day; I don't remember any negative interactions that day at all.” 
He said, “...I am confident—that I did not act inappropriately.... But part of this awakening that we're having as a society...is that it's not just one side of the story that matters”, and, “That the same interactions could be experienced very differently from one person to the next.” 
The Prime Minister went on to say, “often a man experiences an interaction as being benign or not inappropriate and a woman, particularly in a professional context, can experience it differently and we have to respect that and reflect on it.”
To boil this all down, a simple phrase sums up the Prime Minister's words and deeds: Do as I say and not as I do. That catchphrase seems to describe a lot of what we see from the Liberal government. I am afraid it is playing itself out yet again in the area of sexual misconduct.
The Prime Minister, when he took the stage in Davos, said that having an established policy was crucial. His own government's legislation, which we are debating today, will entrench this expectation in federal labour law. However, we do not know what policies apply to the Prime Minister himself.
Earlier this autumn, I put some written questions on the Order Paper to get answers. Here is what I asked:
 (a) what is the procedure when there is an accusation against the Prime Minister, including, (i) who decides if a complaint has merit and warrants an investigation; (ii) who conducts the investigation; (iii) does the individual conducting the investigation have the ability to recommend sanctions; (iv) are the recommended sanctions binding; (v) what is the policy regarding whether or not the reports and findings are released to the public; (vi) what mechanism, if any, exists for the temporary suspension of certain duties of the Prime Minister pending the outcome of an investigation; and (b) does the procedure...apply to incidents which occurred prior to the individual becoming Prime Minister? 
Those are valid questions. Canadians deserve to know, this Parliament deserves to know, how the Prime Minister will be held accountable if there are past allegations of sexual misconduct. I have not had an answer back yet.
I would have thought that for something so near and dear to the Prime Minister's heart, the government would actually have had this already prepared and would have given me an answer immediately. Again, that was wishful thinking.
However, there is a deadline for a response to my question, so we should know, come mid-November, just what procedures are in place for Canada's Prime Minister. Maybe the government will even comply with what it expects of other Canadians in Bill C-65. This assumes, naturally, that the government actually answers the question, assuming that there is actually a policy, and assuming, of course, that Bill C-65 is not simply another case of Liberal's saying ""do as I say and not as I do.""
In closing, Canada's Conservatives support this legislation, as combatting harassment is a pressing need in all sectors of society, including in the Parliament of Canada. We believe that all forms of harassment, sexual violence and discrimination are unacceptable. That is why at committee, among other things, we, as Conservatives, successfully introduced an amendment to prevent political interference in political offices during harassment investigations.
We also successfully introduced amendments to ensure strict timelines for investigations into incidents of harassment to ensure that investigations are carried out in a timely manner.
I think we can all agree in this place that government policy needs to focus on supporting victims of harassment. This legislation is a positive step in that direction. We look forward to answers from the Prime Minister's Office in regard to the policies that are in place should there be allegations against the Prime Minister himself.
We support Bill C-65. We do want more answers. We expect more answers.",Conservative,Portage—Lisgar,Candice Bergen
2018-10-17,"Mr. Kevin Lamoureux (Parliamentary Secretary to the Leader of the Government in the House of Commons, Lib.)",Government Orders,Canada Labour Code,"Madam Speaker, I am glad that the Conservative Party supports the bill. That does not surprise me, because we heard that at both second reading and third reading. 
Members on all sides recognize that this is a historic type of legislation that would ensure that we have more harmony in the workforce going forward. It demonstrates strong national leadership.
My colleagues across the way seem to want to make personal attacks, whatever type of legislation comes before us. When we look at the legislation we have today, I would encourage them to recognize that the many different stakeholders, not only elected or in the Senate chamber but all Canadians, recognize this legislation for what it is, which is a solid piece of legislation that would advance our society in a positive way.
Would my colleague across the way not agree that not only should the national government continue to demonstrate leadership on this file but that it is also important that our provincial entities have labour laws that reflect this type of legislation and that they look at ways they could provide a better and more harmonized workforce?",Liberal,Winnipeg North,Kevin Lamoureux
2018-10-17,Hon. Candice Bergen,Government Orders,Canada Labour Code,"Madam Speaker, I think we need to get our own house in order here before we start telling other jurisdictions how to handle issues that they may or may not be facing, which leads me to the point I was making in my speech. I would like to present this to my hon. colleague in the position he is in. Will we be able to get answers regarding how allegations of sexual misconduct are handled when they are against the Prime Minister?
We saw these allegations happen over the summer. The Prime Minister did not address them directly. In fact, he said that men and women experience things differently. This goes to the very heart of what we are saying. That is actually an excuse. I cannot be abusive or hurt people then say that they might have experienced it differently, and that lets me off the hook. That is why we have this legislation in place. That is why we all support it. 
What we do not know, and what we have not seen, is what the process is for the Prime Minister himself. We know it happens when there are accusations levied against ministers. They have been removed from cabinet. They have indeed been removed from the Liberal caucus. We did not know what that investigation looked like. 
Canadians deserve to know how investigations will be handled if there is an allegation against the Prime Minister.",Conservative,Portage—Lisgar,Candice Bergen
2018-10-17,"Mr. Richard Cannings (South Okanagan—West Kootenay, NDP)",Government Orders,Canada Labour Code,"Madam Speaker, I am glad that all of us here seem to support the bill. It is a step forward in the right direction in how we work and what the culture or environment is like both here in this place and across the country. 
The member talked a lot about incidents in the past. I wonder if she might have further comments about how things will change in the future for people who work in government here. I also have specific concerns about things like privacy. We live and work in a small bubble here. How might the privacy of complainants be protected in the future?",New Democratic Party,South Okanagan—West Kootenay,Richard Cannings
2018-10-17,Hon. Candice Bergen,Government Orders,Canada Labour Code,"Madam Speaker, the member is correct. On technology, on behaviour, we are learning more and growing as a society. This is an issue that will be changing. We support that this will be looked at every five years and that there will be a review so that we can ensure that we are using best practices to ensure that we have a harassment-free workplace and that our employees, the people we interact with day to day, are supported and are able to reach their fullest potential. Therefore, we support seeing this reviewed every five years and being able to change and evolve as the situation changes.",Conservative,Portage—Lisgar,Candice Bergen
2018-10-17,"Mr. Bryan May (Cambridge, Lib.)",Government Orders,Canada Labour Code,"Madam Speaker, I will be sharing my time this afternoon with the hon. member for Alfred-Pellan.
 I am honoured to stand and speak to Bill C-65. Our government ran on a commitment to take action on workplace harassment and violence, and I am very proud of where we are here today.
Members of the House, from all parties, have worked together to create a strong piece of legislation, one that will address harassment and violence for the hundreds of thousands of employees who work in the federally regulated industries, and closer to home, one that will provide political staff here in the chamber, in the other chamber and in our constituency offices with the same health and safety protections under the Canadian Labour Code as all other workers in this country.
All of us here in the House, no matter our political allegiance, have a unique opportunity. Today we can join forces and take a stand together. We can send a strong message to all Canadians that workplace harassment and violence is unacceptable and will not be tolerated any longer. Together we can support Bill C-65 so that it can become law and we can effect real change. Together we can help make a real difference in the lives of Canadian workers in federally regulated workplaces, including all of our staff right here on Parliament Hill.
It is true that this piece of legislation would apply only to federally regulated and parliamentary workplaces. However, we believe that through it, we will be leading by example. We believe that the bill will inspire other governments, businesses, employers and organizations across the country to follow in our footsteps. Indeed, with this new legislation, Canada is being seen as an international leader in addressing workplace harassment and violence.
We believe that we are not the only ones who strongly refuse to tolerate these toxic, destructive behaviours any longer. Harassment and violence, including sexual harassment and sexual violence, in the workplace and in our society at large is nothing new. However, over the past few years, it has been top of mind. In fact, over the past few years, social media lit up with campaigns such as #MeToo, #AfterMeToo, and Time's Up. These hashtags became movements and these movements showed just how pervasive and extensive this problem is.
These movements are the result of people. They are the result of brave women and men who thought it was important to show the world how common harassment and sexual violence are in our lives. They found the courage and strength to speak up, and now it is our turn to take action.
Our government ran on a commitment to take action on workplace harassment and violence, and I am sure my colleagues agree that action in this area is long overdue. I am sure they also agree that it affects us all. That is what we are doing here today: taking action.
The new approach we are proposing aims to drive a culture change in federal workplaces. This new approach aims to prevent incidents of harassment and violence from occurring, to have an effective response when they do occur, and to have support for those affected.
I want to acknowledge the work accomplished by the members in the House and the other place in their careful study of the bill. I also want to acknowledge the generosity of the many witnesses who informed that study, which resulted in important amendments. Amendments were made as the bill passed through this chamber, and several more were proposed by the other chamber. As a result, Bill C-65 is now stronger than ever.
Today I will give an example of how this tremendous work made our proposed legislation so strong. 
As we know, members of the other chamber studied the bill carefully, and they proposed a number of amendments. One of the amendments our government is in support of concerns the terminology used in the bill. The members proposed a revision of certain terminology, terminology that they felt could have an adverse effect on the very people we are trying to protect if left unchanged.
Currently, the words “trivial”, “frivolous” and “vexatious” are used to describe the basis upon which a complaint to the labour program could be dismissed. While these terms are generally understood in law and appear throughout the Canada Labour Code, they are, as a member of the other place so rightly pointed out, rooted in prejudice. Our government understands the power of language and we fully support the replacement of these terms with the more neutral term, “abuse of process”.
This is just an example. Our government agrees with a number of other amendments proposed by the other chamber. For example, we agree with explicitly stating that nothing in Bill C-65 takes away from an individual's rights under the Canadian Human Rights Act. We agree with the proposal that anyone designated by the employer to receive complaints related to occurrences of harassment and violence has the appropriate knowledge, training and experience. We agree to the amendment to require data in the annual report on incidents of violence and harassment to be categorized according to prohibited grounds of discrimination under the Canadian Human Rights Act. Such amendments would strengthen Bill C-65.
At this point, I would be remiss if I did not mention the work also accomplished by the Standing Committee on Human Resources, Skills and Social Development and the Status of Persons with Disability, also known as HUMA. It is a privilege of mine to chair that committee. The HUMA committee also proposed some significant amendments, which were made to Bill C-65. These amendments include adding a clear definition of harassment and violence in the Canada Labour Code, including a specific reference to preventing occurrences of harassment and violence in the purpose clause of part II of the code; allowing former employees to come forward with complaints related to occurrences of harassment and violence; a provision allowing employees to complain to someone other than the supervisor if they prefer; an annual report on harassment and violence in all federally regulated workplaces; as well as giving the deputy minister powers normally given to the minister to avoid the possibility of any perceived conflict of interest when political actors are involved.
The work accomplished by members in this House, and in the other, will help us send a strong message to all Canadians that workplace harassment and violence is unacceptable and it will not be tolerated any longer. Each and every one of us here in this House can help us send a strong message. I urge everyone here today to help move this bill forward by casting a vote that will help end workplace violence and harassment in Canada.",Liberal,Cambridge,Bryan May
2018-10-17,"Mr. Harold Albrecht (Kitchener—Conestoga, CPC)",Government Orders,Canada Labour Code,"Madam Speaker, this a very serious topic that should grip all of us in this House and indeed impacts all of us in this House and impacts all Canadians.
My colleague referred, in his comments, to a new approach and a culture change. We on this side definitely agree that is needed, and that is why we are supportive of this legislation. However, we need more than just words, we need more than just a bill; we need action and follow-through on these commitments to a culture change.
With the alleged incident of a number of years ago by our Prime Minister and an apparent denial, and also the recent comments of the finance minister in committee, referring to my colleagues and other colleagues as neanderthals, these certainly are not the kind of language that we would like to hear in terms of creating a culture of respect. I wonder if my colleague would comment on whether he feels that the Prime Minister and the finance minister at the very least owe an acknowledgement of wrongdoing and preferably should offer an apology.",Conservative,Kitchener—Conestoga,Harold Albrecht
2018-10-17,"Mr. Bryan May (Cambridge, Lib.)",Government Orders,Canada Labour Code,"Madam Speaker, I agree with the member opposite that actions speak louder than words. That is why I was very pleased at how the committee came together and worked. We basically eliminated political allegiances on this study. We had a number of people sit in on the committee on all sides who wanted to speak to this issue and really wanted to deal with this professionally and not to politicize this issue.
It is important to recognize the work that was done by the staff and the clerks to make the accommodations that were necessary to accomplish what we did. There were a number of firsts that were involved in this study, and I personally want to extend my thanks to my clerk and all of her team for making this happen, because it was critically important that we respect the privacy of those witnesses who appeared before us. That was done with an incredible amount of logistics and incredibly professionally.",Liberal,Cambridge,Bryan May
2018-10-17,"Ms. Sheri Benson (Saskatoon West, NDP)",Government Orders,Canada Labour Code,"Madam Speaker, I am pleased to be in the House with my hon. colleague today. 
I do want to acknowledge that the committee worked hard and the amendments that came forward from my colleague, the hon. member for Jonquière. Of course, not all of the amendments that were proposed were accepted, but I do want to acknowledge that there was an openness and willingness on the committee to make this bill better than what it was when it started at committee. Thus, I also want to congratulate the committee members.
I have one comment, in particular, about the fact that I have a connection with a local teamster union in my riding that has done a lot of work around mental health and had hoped to have mental health included in this document around psychological harassment and whatnot. I just wanted to make a point that when we do the five-year review, which I think is an excellent way to look at legislation, that we could once more entertain that addition as we know more once the bill is out and people are using it, and we know what works and what does not.",New Democratic Party,Saskatoon West,Sheri Benson
