speechdate,speechtext,speakerparty,speakerriding,speakername,speakergender
2018-04-26,"Mr. Speaker, women with mental health or cognitive-related issues are four times more likely to report experiencing sexual violence. The government's response to this shocking reality has been with Bill C-65 and social development programs. This is woefully inadequate, due to the harsh reality.
I would like to hear the government explain to us today why it is not taking this issue seriously and what it is actually going to do now.",New Democratic Party,Windsor—Tecumseh,Cheryl Hardcastle,Female
2018-01-29,"Mr. Speaker, I thank my colleague for her very insightful speech.
We have been discussing this topic here in the House for several months, and I know that many will be listening closely to our discussions today.
I would like to ask my colleague whether workplaces will have access to new funds for training. Training is essential to changing a culture and creating a healthy workplace for all those who work in telecommunications, airports, and federally regulated workplaces. Will there be financial assistance set aside for training?
I think that training is the key to change. As I mentioned, it will support investigations into allegations of sexual harassment.
I would also like to know where this money will be coming from.",New Democratic Party,Jonquière,Karine Trudel,Female
2018-01-29,"Mr. Speaker, it is such an important day for all of us, to be coming onto the same page at this moment in time, in our country and across the world. It is critical that we put our partisan hats to the side and do the very hard work that is necessary to ensure that this workplace is zero tolerance going forward. I applaud everyone who is getting up today to be a part of this debate. It is critical. 
There are many tools that are needed in order to see this legislation go forward, but certainly even beyond that, I would like the minister to consider adopting 10-day paid leave for anyone who has been a victim of any type of harassment in their workplace. It is very important that they are able to have that time to deal with the fallout they are facing. We see women across our country being victimized all over again by social media and by people. We really need to advocate for them to have that time to be able to heal.
The other piece that is very important, and we will be bringing it forward, is a clear definition. This is the basis of all of the work we are doing. I implore the minister to adopt a clear definition in the legislation so that we will know exactly what we are facing going forward.
My question is about that definition. I hope the minister will entertain the amendments that will come forward about that.",New Democratic Party,Essex,Tracey Ramsey,Female
2018-01-29,"Mr. Speaker, I thank my colleague for her very insightful speech.
We have heard a lot about training. Many members of Parliament have to take training, and I would like my colleague to make suggestions. How do we get men and women involved in changing the culture? I am not talking about ministers or parliamentary secretaries; I am talking about all of us. After all, we are all people. We get training and we can make amendments, but what are practical things we should be doing? We agree that psychological, physical, or sexual harassment, and bullying are unacceptable.
What else should we be doing, as a group, to ensure, first, that this does not happen again here, on the Hill, to our employees, and then in every federally regulated workplace?",New Democratic Party,Jonquière,Karine Trudel,Female
2018-01-29,"Mr. Speaker, Bill C-65 to prevent harassment and violence in the workplace was introduced for first reading on November 7, 2017.
This is an extremely important piece of legislation, and we see this as a step in the right direction with respect to these crucial issues. As the new labour critic for the NDP, I am pleased to rise today to speak to Bill C-65 to address harassment and violence in the workplace.
This bill was developed in response to the many highly publicized cases of sexual assault that have occurred around the world. In the present context and in the wake of the global #MeToo and Time's Up movements, now more than ever, Canada must be a champion and a leader in ensuring that our workplaces are safe and free from harassment and violence.
Canada already has some of the best legislation in the world against sexual violence. Still, comprehensive legislation is needed to further enhance protections for workers against physical, sexual, and psychological violence in the workplace.
Psychological harassment deserves special attention. According to the International Labour Organization, psychological harassment is an increasingly common form of workplace violence. Universities and unions such as Teamsters have also spoken out against it.
Just three months ago in my riding in the Saguenay, a scandal broke at the Centre de formation professionnelle de Jonquière. Six instructors and former instructors spoke to the media about how the work environment at that teaching institution had been intolerable for over a decade. Cases of harassment and exclusion are no longer rare; they are becoming more and more common.
We know this is due to profound changes in how we organize work, in working conditions, and in management styles in recent decades. The rules governing a labour market that is now more demanding in terms of flexibility and productivity make workers more vulnerable and, in recent years, have helped enable cases of psychological harassment.
Unfortunately, Machiavelli's famous maxim “divide and conquer” seems to be the order of the day in a context where professional burnout and workplace stress and hardship have been normalized. Asking for respect and dignity at work is not a luxury, it is a fundamental right.
In addition to psychological harassment, workplace violence and harassment also merit our attention. According to the president of the Canadian Labour Congress, workplace violence and harassment, whether psychological, physical, or sexual, have become an epidemic and the impact on the daily lives and mental health of workers across the country is quite clear.
An Abacus Data survey released in November shows that close to half of Canadian women say they have experienced some form of sexual harassment at work. One in ten Canadians report that this type of harassment is quite common at their workplace and nearly half of them say they have been harassed by a person in a position of authority. Not surprisingly, low-income workers in precarious jobs, as well as racialized and queer women are more likely to be harassed at work.
 Still today, those who engage in workplace harassment rarely suffer the consequences of their behaviour. For example, the director of the women's department at Unifor, Lisa Kelly, recently indicated that all too often those who point out problems and seek help continue to suffer reprisals.
That is unacceptable. Sexual, physical, psychological, or emotional harassment or violence in the workplace must not be tolerated. Our leader, Jagmeet Singh, took the same firm stand on this issue a few weeks ago when he announced his zero tolerance policy for such behaviour.
The NDP wants all working men and women in Canada to feel safe and protected from sexual, physical, and psychological violence or harassment in their workplace. That is why we support the global initiative to enhance protections against harassment and violence in the workplace. That is also why we are working with women's rights and social justice organizations to ensure that the policies that are put in place have a real impact and make the safety of all workers a priority.
Bill C-65 seeks to establish an investigative process that would allow workers and employers to better address allegations of bullying, harassment, and sexual harassment. The bill sets out two similar approaches for parliamentary and government workplaces. Once passed, this bill will apply to all federally regulated workplaces, including the banking, telecommunications, and transport sectors, which account for nearly 8% of the Canadian workforce. Whereas the Canada Labour Code currently provides for separate frameworks for dealing with workplace violence and sexual harassment, Bill C-65 would merge those labour standards. Bill C-65 would also implement strict rules to protect the privacy of victims of harassment or violence. These rules would also apply to parliamentarians, their employees, and other staff on Parliament Hill. 
The NDP has always fought for better protections for workers. That is why we strongly support expanding legal provisions to reduce workplace violence and harassment, which should not be tolerated under any circumstances. Although we agree with the intent of Bill C-65, we feel it has some flaws and does not go far enough. It would require many amendments to achieve the desired results and offer the kind of protection that Canadian workers expect. 
We still do not know exactly how this bill will improve the process for reporting harassment, how it will minimize harm, how it will interact with the Canadian Human Rights Commission, or how it will protect the anonymity of victims of workplace harassment or violence. 
It is also unclear how the implementation of Bill C-65 will be properly funded. That is why some of the bill's provisions should be studied further. 
First of all, even though this bill claims to tackle harassment and violence, those terms are not defined anywhere in Bill C-65, the Canada Labour Code, the Parliamentary Employment and Staff Relations Act, or the Budget Implementation Act, 2017, No. 1. Only sexual harassment is defined in the Canada Labour Code.
A long list of steps and processes to combat certain inappropriate behaviours is being put forward. However, there is no definition of this behaviour anywhere, which does not bode well for the government's objective of creating a model policy to deal with sexual harassment.
If the government really wants to eradicate violence and harassment, why would it rely on the regulatory process to produce these definitions instead of introducing a clear bill?
What hope does the government have of eliminating harassment and violence from the workplace if it does not clearly define the behaviour to be eliminated?
By not providing an explicit definition, the government is asking us to blindly vote for an important and yet extremely vague bill that could be subsequently amended without consultation. That is not what we want. These terms must be clearly defined for both the employer and the employees to ensure that these measures can be be implemented effectively.
Sure, definitions in bills narrow the interpretations of a particular word or anticipate potential interpretations. Sure, if we add definitions, this means that other potential or future circumstances may not be included in the bill. However, though it may be wise, in some circumstances, not to provide too many definitions, in this case, it is not legally binding if we leave the definitions of harassment and violence up to to the regulations. These definitions would ultimately be set through jurisprudence or, in some cases, by tribunals responsible for workplaces under the Canada Labour Code.
I want to bring up a second major problem. In the past, the federal government has missed—and yes, I said “missed”—opportunities to ensure that victims of physical, sexual, or psychological violence have access to leave after the incident.
Why does the government not create a 10-day paid leave for victims of workplace harassment? The government should take this opportunity to integrate a 10-day paid leave into the bill, as suggested by the majority of organizations working to end gender-based violence. 
Also, will there be the necessary personnel and training to go along with the legislation?
Ten days of paid leave is not very much. Anyone who is the victim of psychological harassment, violence, or sexual harassment is affected for life. The bill should include leave for victims in order to help them in the immediate aftermath of the incident.
I would also like to add that if workplace inspectors are called upon in the process, we need to ensure that enough inspectors are available and that they receive the specialized training needed to enforce the new measures. Since they would have to lead investigations, it is important that these individuals be properly trained and capable of leading them. Since many of these cases involve prejudice, people who are not properly trained could negatively affect the investigation and cause long-term harmful effects for the victims.
Details are also needed regarding the availability and source of new funding in order to ensure that workplaces have the resources they need to provide the necessary support and investigate all allegations of sexual harassment.
Without that, the bill's effectiveness could be seriously undermined. Declaring new rights without providing resources to enforce them does absolutely nothing to enhance the protection of workers and ensure safe workplaces. The government therefore still needs to tell us how much money will be allocated to implementing these measures, especially since they will be combined with an extensive awareness campaign to challenge misconceptions and stereotypes.
Harassment and violence in the workplace must never be tolerated, but when it does occur, the process must be transparent for all parties and recourse must be clear. The legislation must give everyone involved the right to be informed of the status of their complaint. In addition, the individuals involved must be given sufficient representation, as noted by the Professional Institute of the Public Service of Canada.
The current bill does not elaborate on any of that, which leaves us with some questions. What real recourse does Bill C-65 offer to victims of harassment or assault? Will workers have the right to access information about their complaint? As the national vice-president of the Public Service Alliance of Canada said in November, in the context of allegations of sexual harassment in Hollywood and around the world, it is disappointing to see a bill on sexual harassment and violence which fails to provide a remedy for victims.
It is also not clear to us how the government plans to implement strict privacy rules while also allowing federally regulated workplaces, including Parliament, to rely on qualified persons from the same work environment to help resolve the situation. It seems obvious that the privacy of the complainant cannot be guaranteed if the so-called qualified person selected to play the role of mediator can be a colleague. 
The final concern I want to raise is about how this legislation will affect the role of the Canadian Human Rights Commission with respect to the solutions it provides and the resolution of complaints that are not covered under the Canada Labour Code but are dealt with by the commission or in collective agreements. How will Bill C-65 interact with the Canadian Human Rights Act or existing collective agreement provisions such as those relating to third-party arbitration? Bill C-65 would have more teeth if it guaranteed all workers in this country the same level of protection.
I have much more to say about Bill C-65, but I see that I am running out of time. Considering everything members said at second reading, I would like to conclude by saying that, despite the many recent global initiatives encouraging people to come forward about sexual harassment, some women and men still find it difficult to speak up. The words seem to get stuck in their throats, something prevents them from reporting what they have buried so deeply inside themselves. Words, deeds, emotions, held captive. Why do so many hold back? Lack of faith in our legal system and confusion about how various types of harassment are defined have a lot to do with it. If this bill is to succeed at curbing these behaviours, it is crucial, as I said, tjat we define them.
It is up to the government to answer all of these questions quickly and find real solutions so that all Canadians can finally get the safe work environment they deserve and are entitled to.",New Democratic Party,Jonquière,Karine Trudel,Female
2018-01-29,"Mr. Speaker, I want to thank my colleague for his question. It is important to have non-partisan debate in the House. Throughout this debate, I have been thinking only of the victims, because they are the people we represent. It may be 2018, but we still need to address this issue, which remains relevant as other major allegations have recently emerged. 
Parliament represents all Canadians, not just those in a particular riding. We need to lead by example. We are here to amend laws and make changes. If we are the first to break the law, what kind of example are we setting for the public? 
It is important to have this debate here, because that is the whole reason we are here. We need to discuss the bill, but most of all, we need to move on and take action in a non-partisan way. All the men and women who work on or off Parliament Hill need to pledge to file a report anytime they witness wrongdoing. We need to take this training in order to change the culture and stop this kind of thing from happening again.
Changing the culture is important and is something we still need to work on in 2018, since there are still tons of examples in the news. It is vital for all men and all women to work together and commit to contributing to and participating in changing the culture.",New Democratic Party,Jonquière,Karine Trudel,Female
2018-01-29,"Mr. Speaker, I thank my colleague for her articulate speech. She is very well suited to address this topic. She is well versed in labour relations and she is a woman. Every member of the House can be proud of the tone of this debate.
Obviously, everyone supports good initiatives. Fortunately, my colleague took the time to conclude her speech by acknowledging the need to help people talk about this subject. She then immediately switched to the need for more definitions in the bill. I think about the #EtMaintenant movement. My own daughter has been handing out yellow hearts in bars to raise men's awareness of the situation. My colleague also touched on awareness raising in her speech. However, the definitions are crucial because without them there can be no awareness raising.
I would like my colleague to elaborate on that.",New Democratic Party,Longueuil—Saint-Hubert,Pierre Nantel,Male
2018-01-29,"Mr. Speaker, I will use the opportunity given to me today to commend the Et Maintenant movement.
It is a very good initiative. People are asked to wear a yellow heart as a reminder of what needs to change and what we need to do. It is a good way to break the ice and engage in the conversation. The drive and enthusiasm of these women and their initiative reflect the desire to see a cultural shift and to prevent further complaints and court appearances. I am talking about men and women because men are also victims of psychological and sexual violence. It is important to make that clear. The Et Maintenant movement is for everyone and is a good way to initiate a change in culture.
Whenever someone wears a yellow heart, it might remind people to pay attention, to be aware, and to abide by the saying that you must know where you are coming from to know where you are going. That is also an important element of the yellow heart, which I believe is a good symbol. I hope that the movement will grow right across Canada. This is just the beginning. 
With regard to Bill C-65, I want to stress that training is crucial. We must provide the information, but also train employers and employees. By talking and working together we will really make this culture shift happen.",New Democratic Party,Jonquière,Karine Trudel,Female
2018-01-29,"Mr. Speaker, sometimes these discussions can make us feel as though we are chatting in the lobby.
I thank my colleague for her very insightful comments. It bothers me as well, and I think this will have to be discussed in committee. The NDP has a number of amendments to make to Bill C-65. This is not about scoring points. This is about teamwork and commitments. I urge the government to work together to ensure that the NDP's proposed amendments are recognized and accepted. Often, committee members want to make amendments and work, in good faith, as a team. However, this is not what happens.
Today's discussion is quite passionate. Everyone has good intentions, but this needs to carry over into committee so that we can actually get things done. Members are talking about making commitments. I think this will be the right approach. Once again, I urge the government to consider the amendments that the NDP is going to propose, to work as a team, and then to take action.",New Democratic Party,Jonquière,Karine Trudel,Female
2018-01-29,"Mr. Speaker, I want to thank my hon. colleague for his comments reaffirming for those of us in the House that, once the bill gets to committee, the conversation will be open and collaborative. My comments come from that place.
I heard the minister talking about there not being a clear definition in the legislation, and the advantage of that is that, as we move forward in our understanding of the legislation, we would not limit how people would be protected. I understand that. I can see the point there. However, I also want to put forward the power of having a definition in legislation so that, as things change, whether in society or within Parliament itself, we will not have a definition that starts to go backward and forward.
For me, it is important that part of the work of the committee be looking at a definition and that definition be included in the legislation.",New Democratic Party,Saskatoon West,Sheri Benson,Female
