speechdate,speechtext,speakerparty,speakerriding,speakername,speakergender
2018-02-07,"Mr. Speaker, let me be very clear on this matter. Inappropriate sexual behaviour of any kind is completely unacceptable and will not be tolerated. Our government has been very clear that we are committed to a harassment-free workplace for all Canadians. We have recently tabled Bill C-65, and we have a proven track record on this matter. 
Though I cannot speak to the specifics of this case, as a government we have made our approach clear on issues like these, and we will continue along this path.",Liberal,Vancouver South,Harjit S. Sajjan,Male
2018-01-29,"Mr. Speaker, I applaud the minister for trying to make our workplaces free from harassment. I would also like to tell her that we will support this bill at second reading so that it can be improved in committee.
The minister talked a lot about victims in her speech. According to this bill, victims must first go to their employer, but victims are sometimes afraid of going to their employer, since the employer may be involved in the harassment.
Can the minister assure me that she will allow these victims to go directly to the Department of Employment, Workforce Development and Labour investigator? Will she allocate the financial resources needed to ensure that victims can go to the department when they do not want to go to their employer, who may be the perpetrator?",Conservative,Bellechasse—Les Etchemins—Lévis,Steven Blaney,Male
2018-01-29,"Mr. Speaker, the minister brought up the fact that there needs to be a cultural shift in the whole country of Canada. To that point, I had introduced Motion No. 47, looking at the impacts of online sexual violence. A recent study showed that all of the top 88 videos viewed on the Internet over the last 10 years contained explicit sexual content and violence. Other studies show that 80% of the population is consuming this kind of content, and to some degree that will be lived out in real life. I was hoping to ask the minister directly what the government is going to do about that.
 In a recent report from the committee on women's affairs, recommendation 5 states:
 That the Government of Canada examine E-safety models or increased controls to prevent violent and degrading sexually explicit material from being accessed by youth under the age of majority and examine how violent and degrading sexually explicit material distorts young people’s ideas of consent, gender equality and healthy relationships. 
I was wondering if my colleague had any comments on that.",Conservative,Peace River—Westlock,Arnold Viersen,Male
2018-01-29,"Mr. Speaker, this is a wonderful way to start off the new year. We have members from all political parties talking about what is a very important issue to all Canadians. In listening to the many comments made so far this morning and this afternoon, there seems to be a great willingness to see that positive debate continue here and also at the committee stage.
My question for my colleague would be on why it is so important that when we have this debate, it is not about one party winning over another party or anything of this nature. It is looking at an issue we all hold very close to our hearts. We understand the importance of it to all Canadians.
 Could the member provide her thoughts on some of the discussion, questions and answers, and speeches that have been made, where we have seen a good, healthy discussion on a very important issue to all Canadians?",Liberal,Winnipeg North,Kevin Lamoureux,Male
2018-01-29,"Mr. Speaker, I thank my colleague for her articulate speech. She is very well suited to address this topic. She is well versed in labour relations and she is a woman. Every member of the House can be proud of the tone of this debate.
Obviously, everyone supports good initiatives. Fortunately, my colleague took the time to conclude her speech by acknowledging the need to help people talk about this subject. She then immediately switched to the need for more definitions in the bill. I think about the #EtMaintenant movement. My own daughter has been handing out yellow hearts in bars to raise men's awareness of the situation. My colleague also touched on awareness raising in her speech. However, the definitions are crucial because without them there can be no awareness raising.
I would like my colleague to elaborate on that.",New Democratic Party,Longueuil—Saint-Hubert,Pierre Nantel,Male
2018-01-29,"Mr. Speaker, I know that earlier the minister talked about changing the culture, and not only changing the culture in this place but changing it across Canada, in all corners. I know I introduced that, and I also introduced Motion No. 147 for the health committee to do a study on online sexual violence and how that affects men, women, and children. To her credit, the status of women committee has recently put out a report. Recommendation 5 from that report states:
 That the Government of Canada examine E-safety models or increased controls to prevent violent and degrading sexually explicit material from being accessed by youth under the age of majority and examine how violent and degrading sexually explicit material distorts young people’s ideas of consent, gender equality and healthy relationships. 
Does the member have an idea of what the government plans to do with this recommendation?",Conservative,Peace River—Westlock,Arnold Viersen,Male
2018-01-29,"Mr. Speaker, it is important for us to recognize that the national government has a leadership role to play that goes even beyond the areas we regulate. Taking initiatives of this nature result in positive spinoffs in other jurisdictions. 
One thing I have taken from this debate, and I commented on it earlier, is the support we are receiving. There has been all-party support for this initiative. 
Could she provide her comments on that?",Liberal,Winnipeg North,Kevin Lamoureux,Male
2018-01-29,"Mr. Speaker, I think all parties in the House share a commitment to doing everything we can to end the kinds of problems about which the member has spoken. We in the official opposition are supportive of the bill. We want to see it move forward and we want to take a constructive approach. We want to look for ways to potentially improve the bill and strengthen it, if we hear of those opportunities at committee. 
Does the member have any initial thoughts on possible amendments she thinks might strengthen the bill. Has she given any thought to changes that could be made, should be made to the text and the provisions themselves?",Conservative,Sherwood Park—Fort Saskatchewan,Garnett Genuis,Male
2018-01-29,"Mr. Speaker, to press the member across, it was an absolutely legitimate question. She implied there was no appeal process. Clearly, there is an appeal process. Would she like to correct the record?",Liberal,Cape Breton—Canso,Rodger Cuzner,Male
2018-01-29,"Mr. Speaker, the member showed what a great chair of the Status of Women Committee she would have made in her thoughtful remarks. I do not think it is partisan at all for the member, in supporting a piece of government legislation, to demonstrate that she has read the detail of the bill and has presented thoughtful, original criticisms and suggestions for how to improve it. 
Does the member think, in light of the response to her comments, that the government is willing to hear constructive amendments at committee? I hope it will take our support, our good faith, and our desire to be constructive in the tone it should be received and work with us to make the bill as good as possible.",Conservative,Sherwood Park—Fort Saskatchewan,Garnett Genuis,Male
